id,name,birthdate,deathdate
81,Agata Kulesza,9/27/1971,
82,Agata Trzebuchowska,,
83,Agnes Bruckner,8/16/1985,
84,Agnes Moorehead,12/6/1900,4/30/1974
85,Agnia Ditkovskite,5/11/1988,
86,Agnieszka Holland,11/28/1948,
87,Agnieszka Wojtowicz-Vosloo,,
88,Agustín Díaz Yanes,,
89,Ah-sung Ko,8/10/1992,
90,Ahmad Massad,,
91,Ahmed Best,8/19/1973,
92,Ahmed Hassan,,
93,Ahmet Ertegun,7/31/1923,12/14/2006
94,Ahna O'Reilly,9/21/1984,
95,Ahney Her,,
96,Aida Elkashef,,
97,Aida Folch,11/24/1986,
98,Aida Turturro,9/25/1962,
99,Aidan McArdle,,
100,Aidan Quinn,3/8/1959,
101,Aidan Turner,6/19/1983,
102,Aimee Garcia,11/28/1978,
103,Aimee Teegarden,10/10/1989,
104,Aisha Hinds,11/13/1975,
105,Aisha Tyler,9/18/1970,
106,Aitana Sánchez-Gijón,11/5/1968,
107,AJ Michalka,4/10/1991,
108,Ajay Naidu,2/12/1972,
109,Aki Aleong,12/19/1934,
110,Aki Kaurismäki,4/4/1957,
111,Akie Kotabe,7/18/1980,
112,Akima,,7/27/2014
113,Akira Kurosawa,3/23/1910,9/6/1998
114,Akira Terao,5/18/1947,
115,Akiva Goldsman,7/7/1962,
116,Akiva Schaffer,12/1/1977,
117,Akon,4/16/1973,
118,Aksel Hennie,10/29/1975,
119,Akshaye Khanna,3/28/1975,
120,Al Cliver,7/16/1951,
121,Al Franklin,,
122,Al Freeman Jr.,3/21/1931,8/9/2012
123,Al Gore,3/31/1948,
124,Al Leong,9/30/1952,
125,Al Pacino,4/25/1940,
126,Al Roker,8/20/1954,
127,Al Sapienza,7/31/1956,
128,Al Silliman Jr.,4/7/1941,
129,Alain Delon,11/8/1935,
130,Alain Resnais,6/3/1922,3/1/2014
131,Alan Alda,1/28/1936,
132,Alan Autry,7/31/1952,
133,Alan Bates,2/17/1934,12/27/2003
134,Alan Brent,,
135,Alan Cohn,1/12/1957,
136,Alan D. Purwin,8/28/1961,9/11/2015
137,Alan Dale,5/6/1947,
138,Alan David,11/30/1947,
139,Alan Ford,2/23/1938,
140,Alan Hale,5/6/1947,
141,Alan Hale Jr.,3/8/1921,1/2/1990
142,Alan J. Pakula,4/7/1928,11/19/1998
143,Alan Jacobs,,
144,Alan Metter,8/19/1933,
145,Alan Oppenheimer,4/23/1930,
146,Alan Parker,2/14/1944,
147,Alan Pietruszewski,,
148,Alan Poul,,
149,Alan Rickman,2/21/1946,1/14/2016
150,Alan Ruck,7/1/1956,
151,Alan Rudolph,12/18/1943,
152,Alan Shapiro,,
153,Alan Taylor,,
154,Alan Van Sprang,6/19/1971,
155,Alan Williams,,
156,Alan Young,11/19/1919,5/19/2016
157,Alan Yuen,,
158,Alana Kaniewski,,
159,Alanna Ubach,10/3/1975,
160,Alastair Duncan,,
161,Alba Rohrwacher,2/27/1979,
162,Albert Brooks,7/22/1947,
163,Albert Delpy,9/13/1941,
164,Albert Dupontel,1/11/1964,
165,Albert Finney,5/9/1936,
166,Albert Hughes,4/1/1972,
167,Albert Maysles,11/26/1926,3/5/2015
168,Albert Salmi,3/11/1928,4/22/1990
169,Alden Ehrenreich,11/22/1989,
170,Aldis Hodge,9/20/1986,
171,Aldo Sambrell,2/23/1931,7/10/2010
172,Alec Asten,,
173,Alejandro Agresti,6/2/1961,
174,Alejandro Amenábar,3/31/1972,
175,Alejandro Furth,,
176,Alejandro G. Iñárritu,8/15/1963,
177,Alejandro Monteverde,7/13/1977,
178,Aleksa Palladino,9/21/1980,
179,Aleksandr Bashirov,9/24/1955,
180,Aleksandr Veledinskiy,7/27/1959,
181,Aleksey Chadov,9/2/1981,
182,Aleksey German,9/4/1976,
183,Aleksey Serebryakov,6/3/1964,
184,Alessandra Mastronardi,2/18/1986,
185,Alessandro Carloni,,
186,Alessandro Nivola,6/28/1972,
187,Alessandro Preziosi,4/19/1973,
188,Álex Angulo,4/12/1953,7/20/2014
189,Alex Borstein,2/15/1973,
190,Alex Cox,12/15/1954,
191,Alex Craig Mann,,
192,Álex de la Iglesia,12/4/1965,
193,Alex Désert,7/18/1968,
194,Alex Emanuel,,
195,Alex Garland,5/26/1970,
196,Alex Gibney,10/23/1953,
197,Alex Huszar,,
198,Alex Jennings,5/10/1957,
199,Alex Karpovsky,,
200,Alex Kendrick,,
201,Alex Lawther,,
202,Alex Macqueen,,
203,Alex McArthur,3/6/1957,
204,Alex Meraz,1/10/1985,
205,Alex Pettyfer,4/10/1990,
206,Alex Proyas,9/23/1963,
207,Alex Ranarivelo,,
208,Alex Rivera,,
209,Alex Rocco,2/29/1936,7/18/2015
210,Alex Russell,12/11/1987,
211,Alex Sanborn,,
212,Alex Smith,,
213,Alex van Warmerdam,8/14/1952,
214,Alex Veadov,4/15/1962,
215,Alex Vincent,4/29/1981,
216,Alex Winter,,
217,Alex Zamm,,
218,Alexa Davalos,5/28/1982,
219,Alexa Havins,11/16/1980,
220,Alexa PenaVega,8/27/1988,
221,Alexander Gould,5/4/1994,
222,Alexander Payne,2/10/1961,
223,Alexander Skarsgård,8/25/1976,
224,Alexander Vlahos,,
225,Alexander Witt,,
226,Alexander Wraith,6/29/1979,
227,Alexandra Breckenridge,5/15/1982,
228,Alexandra Callas,,
229,Alexandra Holden,4/30/1977,
230,Alexandra Maria Lara,11/12/1978,
231,Alexandra Rapaport,12/26/1971,
232,Alexandra Silber,7/3/1983,
233,Alexandre Aja,8/7/1978,
234,Alexandre Rodrigues,5/21/1983,
235,Alexandru Potocean,4/21/1984,
236,Alexia Fast,9/12/1992,
237,Alexia Rasmussen,,
238,Alexis Arquette,7/28/1969,9/11/2016
239,Alexis Biesiada,,
240,Alexis Dziena,7/8/1984,
241,Alexis Kendra,,
242,Alfie Allen,9/12/1986,
243,Alfonso Cuarón,11/28/1961,
244,Alfre Woodard,11/8/1952,
245,Alfred Enoch,12/2/1988,
246,Alfred Hitchcock,1899-08-13,4/29/1980
247,Ali Daniels,6/13/1963,
248,Ali Hillis,12/29/1978,
249,Alia Shawkat,4/18/1989,
250,Alice Braga,4/15/1983,
251,Alice Cooper,2/4/1948,
252,Alice Englert,6/15/1994,
253,Alice Evans,,
254,Alice Greczyn,2/6/1986,
255,Alice Krige,6/28/1954,
256,Alice Olivia Clarke,,
257,Alice Playten,8/28/1947,6/25/2011
258,Alice Pol,,
259,Alice Wu,4/21/1970,
260,Alicia Goranson,6/22/1974,
261,Alicia Keys,1/25/1981,
262,Alicia Sixtos,5/27/1988,
263,Alicia Witt,8/21/1975,
264,Alicia Ziegler,5/2/1981,
265,Alicja Bachleda,5/12/1983,
266,Aliou Touré,,
267,Alisha Boe,3/6/1997,
268,Alison Brie,12/29/1982,
269,Alison Chand,,
270,Alison Doody,11/11/1966,
271,Alison Lohman,9/18/1979,
272,Alison Maclean,,
273,Alissa Dean,,
274,Alister Grierson,,
275,Alix Freihage,,
276,Allan Arkush,4/30/1948,
277,Allan Dwan,1885-04-03,12/28/1981
278,Allegra Carpenter,,
279,Allen Coulter,,
280,Allen Covert,10/13/1964,
281,Allen Hughes,4/1/1972,
282,Allen Leech,5/18/1981,
283,Allen Payne,7/7/1968,
284,Allison Anders,11/16/1954,
285,Allison Burnett,,
286,Allison Dean,,
287,Allison Miller,9/2/1985,
288,Allison Tolman,11/18/1981,
289,Ally Sheedy,6/13/1962,
290,Ally Walker,8/25/1961,
291,Alma Martinez,3/18/1953,
292,Alona Tal,10/20/1983,
293,Alonna Shaw,,
294,Alun Armstrong,7/17/1946,
295,Alycia Debnam-Carey,,
296,Alyson Hannigan,3/24/1974,
297,Alyson Stoner,8/11/1993,
298,Amal Al-Agroobi,,
299,Amanda Detmer,9/27/1971,
300,Amanda Gusack,,
301,Amanda Kearsan,,
302,Amanda MacDonald,,
303,Amanda Mealing,4/22/1967,
304,Amanda Plummer,3/23/1957,
305,Amanda Redman,8/12/1957,
306,Amanda Schull,8/26/1978,
307,Amanda Tilson,,
308,Amanda Troop,,
309,Amanda Wyss,11/24/1960,
310,Amat Escalante,2/28/1979,
311,Amber Armstrong,,
312,Amber Benson,1/8/1977,
313,Amber Marie Bollinger,,
314,Amber Marshall,6/2/1988,
315,Amber Rose Revah,6/24/1986,
316,Amber Stevens West,10/7/1986,
317,Amber Valletta,2/9/1974,
318,Amelia Giancarlo,,
319,Amelia Warner,6/4/1982,
320,America Ferrera,4/18/1984,
321,America Olivo,1/5/1978,
322,Ami Ayalon,,
323,Amiah Miller,,
324,Amidou,8/2/1935,9/19/2013
325,Amir Farrokh Hashemian,,
326,Amir Talai,6/24/1977,
327,Aml Ameen,7/30/1985,
328,Amos Oz,5/4/1939,
329,Amr Waked,4/12/1973,
330,Amrish Puri,6/22/1932,1/12/2005
331,Amy Badberg,,
332,Amy Brenneman,6/22/1964,
333,Amy Bruni,,
334,Amy Carson,,
335,Amy Hargreaves,1/27/1970,
336,Amy Heckerling,5/7/1952,
337,Amy Hill,5/9/1953,
338,Amy Holden Jones,,
339,Amy Irving,9/10/1953,
340,Amy Locane,12/19/1971,
341,Amy Lucas,,
342,Amy Madigan,9/11/1950,
343,Amy Poehler,9/16/1971,
344,Amy Ryan,5/3/1968,
345,Amy Schumer,6/1/1981,
346,Amy Sedaris,3/29/1961,
347,Amy Steel,5/3/1960,
348,Amy Stewart,,
349,Amy Warren,,
350,Amy Yasbeck,9/12/1962,
351,Ana Claudia Talancón,5/1/1980,
352,Ana de la Reguera,4/8/1977,
353,Ana Gasteyer,5/4/1967,
354,Ana Imnadze,,
355,Ana Maria Guran,10/6/1995,
356,Ana Vatamanu,,
357,Analeine Cal y Mayor,,
358,Anamaria Marinca,4/1/1978,
359,Anand Tucker,6/24/1963,
360,Anatoliy Solonitsyn,8/30/1934,6/11/1982
361,Anders Holm,,
362,Andre Braugher,7/1/1962,
363,André Dussollier,2/17/1946,
364,André Øvredal,,
365,André Ramiro,1/14/1981,
366,André Téchiné,,
367,André the Giant,5/19/1946,1/27/1993
368,André Wilms,,
369,Andrea Arnold,4/5/1961,
370,Andrea Corr,12/12/1960,
371,Andrea Di Stefano,12/15/1972,
372,Andrea Frankle,,
373,Andrea Martin,1/15/1947,
374,Andrea Ros,5/3/1993,
375,Andrea Savage,2/20/1973,
376,Andrea Vergara,11/10/1984,
377,Andrei Tarkovsky,4/4/1932,12/29/1986
378,Andrej Nahtigal,9/4/1942,
379,Andrés Couturier,2/5/1977,
380,Andrés Montiel,1/30/1975,
381,Andrés Muschietti,,
382,Andrew Adamson,12/1/1966,
383,Andrew Airlie,9/18/1961,
384,Andrew Berends,,
385,Andrew Bergman,2/20/1945,
386,Andrew Bryniarski,2/13/1969,
387,Andrew Bujalski,,
388,Andrew Currie,,
389,Andrew Daly,4/15/1971,
390,Andrew Davis,11/21/1946,
391,Andrew Dice Clay,9/29/1957,
392,Andrew Dominik,10/7/1967,
393,Andrew Douglas,,
394,Andrew Erwin,,
395,Andrew Fiscella,5/25/1966,
396,Andrew Fleming,12/30/1965,
397,Andrew Garfield,8/20/1983,
398,Andrew Haigh,,
399,Andrew Hyatt,8/19/1982,
400,Andrew Jarecki,,
401,Andrew Keegan,1/29/1979,
402,Andrew Keir,4/3/1926,10/5/1997
403,Andrew Lawrence,8/11/1966,
404,Andrew Leman,,
405,Andrew Morahan,,
406,Andrew Niccol,6/10/1964,
407,Andrew Rannells,8/23/1978,
408,Andrew Robinson,2/14/1942,
409,Andrew Simpson,,
410,Andrew Stanton,12/3/1965,
411,Andrew Steggall,,
412,Andrew Traucki,,
413,Andrew Wilson,,
414,Andrey Konchalovskiy,8/20/1937,
415,Andrey Zvyagintsev,2/6/1964,
416,Andrucha Waddington,,
417,Andrzej Bartkowiak,3/6/1950,
418,Andy Cadiff,,
419,Andy Cohn,,
420,Andy Davoli,9/2/1973,
421,Andy Dick,12/21/1965,
422,Andy Fickman,,
423,Andy Garcia,4/12/1956,
424,Andy Lau,9/27/1961,
425,Andy On,5/11/1977,
426,Andy Richter,10/28/1966,
427,Andy Tennant,6/15/1955,
428,Ane Dahl Torp,8/1/1975,
429,Anella Vastola,,
430,Ang Lee,10/23/1954,
431,Angel Coulby,8/30/1980,
432,Angel David,,
433,Angela Bettis,1/9/1973,
434,Angela Cartwright,9/9/1952,
435,Angela Featherstone,4/3/1965,
436,Angela Jones,,
437,Ángela Molina,10/5/1955,
438,Angela Nordeng,,
439,Angela Robinson,2/14/1971,
440,Angela Sarafyan,6/30/1983,
441,Angelica Lee,1/23/1976,
442,Angélica Sancio,,
443,Angeliki Papoulia,,
444,Angelina Armani,11/18/1987,
445,Angelina Jolie Pitt,6/4/1975,
446,Angell Conwell,8/2/1983,
447,Angelo Anthony Pizza,,
448,Angelo Pizzo,,
449,Angelo Rossitto,2/18/1908,9/21/1991
450,Angelo Tsarouchas,,
451,Angie Dickinson,9/30/1931,
452,Angus Barnett,,
453,Angus Macfadyen,9/21/1963,
454,Angus Sampson,2/12/1979,
455,Angus Scrimm,8/19/1926,1/9/2016
456,Angus T. Jones,10/8/1993,
457,Anika Noni Rose,9/6/1972,
458,Anil Kapoor,12/24/1956,
459,Anil Kumar,,
460,Anita Briem,5/29/1982,
461,Anita Mui,10/10/1963,12/30/2003
462,Anita Page,8/4/1910,9/6/2008
463,Anjelica Huston,7/8/1951,
464,Ann Dowd,1/30/1956,
465,Ann Gillis,2/12/1927,
466,Ann Miller,4/12/1923,1/22/2004
467,Ann Morgan Guilbert,10/16/1928,6/14/2016
468,Ann Talman,9/13/1957,
469,Ann-Margret,4/28/1941,
470,Anna Boden,,
471,Anna Friel,7/12/1976,
472,Anna Gunn,8/11/1968,
473,Anna Harr,,
474,Anna Karina,9/22/1940,
475,Anna Katarina,,
476,Anna Katharina Schwabroh,,
477,Anna Kendrick,8/9/1985,
478,Anna Madeley,,
479,Anna Mastro,,
480,Anna Muylaert,4/21/1964,
481,Anna Nakagawa,8/30/1965,10/17/2014
482,Anna Silk,1/31/1974,
483,Anna Vareschi,,
484,Anna-Louise Plowman,5/9/1972,
485,Annabel Jankel,8/1/1955,
486,Annabella Sciorra,3/29/1960,
487,Annabelle Wallis,,
488,Annabeth Gish,3/13/1971,
489,Anne Archer,8/24/1947,
490,Anne Bancroft,9/17/1931,6/6/2005
491,Anne Fletcher,5/1/1966,
492,Anne Fontaine,7/15/1959,
493,Anne Hathaway,11/12/1982,
494,Anne Heche,5/25/1969,
495,Anne Meara,9/20/1929,5/23/2015
496,Anne Parillaud,5/6/1960,
497,Anne-Marie Duff,10/8/1970,
498,Anneliese van der Pol,9/23/1984,
499,Annelyse Ahmad,,
500,Annet Mahendru,,
501,Annette Badland,8/26/1950,
502,Annie Golden,10/19/1951,
503,Annie Parisse,7/31/1975,
504,Anslem Richardson,,
505,Anthony 'Citric' Campos,,
506,Anthony Bell,,
507,Anthony Burrell,,
508,Anthony Chau-Sang Wong,9/2/1961,
509,Anthony Daniels,,
510,Anthony Edwards,7/19/1962,
511,Anthony Heald,2/20/1954,
512,Anthony Hemingway,,
513,Anthony Hickox,,
514,Anthony Hopkins,12/31/1937,
515,Anthony Johnson,,
516,Anthony L. Fernandez,,
517,Anthony LaPaglia,1/31/1959,
518,Anthony Mann,6/30/1906,4/29/1967
519,Anthony Minghella,1/6/1954,3/18/2008
520,Anthony O'Brien,,
521,Anthony Powell,6/2/1935,
522,Anthony Reynolds,5/8/1968,
523,Anthony Russo,1/31/1977,
524,Anthony Silverston,,
525,Anthony Simcoe,6/7/1969,
526,Anthony Vallone,,
527,Anthony Zerbe,5/20/1936,
528,Antoine Fuqua,1/19/1966,
529,Anton Corbijn,5/20/1955,
530,Antoni Corone,,
531,Antonia Bird,5/27/1951,10/24/2013
532,Antonia Thomas,11/3/1986,
533,Antonio Arrué,,
534,Antonio Banderas,8/10/1960,
535,Antonio de la Torre,1/18/1968,
536,Antonio Sabato Jr.,2/29/1972,
537,Antonio Simoncini,,
538,Antony Hoffman,,
539,Antony Starr,10/25/1975,
540,Anupam Kher,3/7/1955,
541,Anurag Basu,,
542,Anushka Shetty,11/7/1981,
543,Anwar Congo,,
544,April Winchell,1/4/1960,
545,Ara Celi,6/19/1967,
546,Aramis Knight,10/3/1999,
547,Arben Bajraktaraj,,
548,Arcelia Ramírez,12/7/1967,
549,Archie Kao,12/14/1969,
550,Archie Panjabi,5/31/1972,
551,Aretha Franklin,3/25/1942,
552,Ari Folman,12/17/1962,
553,Ari Gold,,
554,Ari Graynor,4/27/1983,
555,Ari Kirschenbaum,,
556,Ari Sandel,,
557,Aria Noelle Curzon,12/8/1987,
558,Ariana Neal,,
559,Ariana Richards,9/11/1979,
560,Ariane Labed,,
561,Ariane Schluter,2/1/1966,
562,Arie Posin,,
563,Ariel Gade,5/1/1997,
564,Ariel Hsing,,
565,Ariel Vromen,2/14/1973,
566,Aries Spears,4/3/1975,
567,Arik Ascherman,,
568,Arjun Rampal,11/26/1972,
569,Arjun Sablok,,
570,Arliss Howard,10/18/1954,
571,Arly Jover,2/2/1971,
572,Armando Riesco,12/5/1977,
573,Armin Mueller-Stahl,12/17/1930,
574,Armin Rohde,4/4/1955,
575,Armin Shimerman,11/5/1949,
576,Art Carney,11/4/1918,11/9/2003
577,Art Hindle,7/21/1948,
578,Art Malik,11/13/1952,
579,Arthur Agee,11/22/1972,
580,Arthur Hiller,11/22/1923,8/17/2016
581,Arthur O'Connell,3/29/1908,5/18/1981
582,Arturo Castro,12/19/1955,
583,Artyom Bogucharskiy,8/14/1989,
584,Aryana Engineer,3/6/2001,
585,Asger Leth,,
586,Asghar Farhadi,,
587,Ash Baron-Cohen,,
588,Ash Brannon,,
589,Ash Cook,,
590,Ashanti,10/13/1980,
591,Ashish R. Mohan,,
592,Ashleigh Gryzko,,
593,Ashley Ashida Dixon,,
594,Ashley Bell,5/26/1986,
595,Ashley Gerasimovich,,
596,Ashley Hinshaw,12/11/1988,
597,Ashley Laurence,5/28/1966,
598,Ashley Martin,,
599,Ashley Palmer,11/13/1978,
600,Ashley Rickards,5/4/1992,
601,Ashley Scott,7/13/1977,
602,Ashley Tramonte,,
603,Ashley Walters,6/30/1982,
604,Ashley Williams,11/12/1978,
605,Ashraf Barhom,,
606,Asin,10/26/1985,
607,Athina Rachel Tsangari,4/2/1966,
608,Ato Essandoh,7/29/1972,
609,Atom Egoyan,7/19/1960,
610,Atsuko Maeda,7/10/1991,
611,Atticus Shaffer,6/19/1998,
612,Aubrey Poo,,
613,Audrey Fleurot,7/6/1977,
614,Audrey Wells,4/29/1960,
615,August Diehl,1/4/1976,
616,Augustus Prew,9/17/1987,
617,Aunjanue Ellis,2/21/1969,
618,Austin Lyon,,
619,Austin Nichols,4/24/1980,
620,Austin O'Brien,5/11/1981,
621,Austin Pendleton,3/27/1940,
622,Ava Acres,,
623,Ava DuVernay,8/24/1972,
624,Ava Gardner,12/24/1922,1/25/1990
625,Avery Schreiber,4/9/1935,1/7/2002
626,Avi Nesher,,
627,Ayan Mukerji,,
628,Ayelet Zurer,6/28/1969,
629,Ayesha Omar,10/12/1981,
630,Ayla Kell,10/7/1990,
631,Ayush Mahesh Khedekar,,
632,Aziz Muradillayev,,
633,Azura Skye,11/8/1981,
634,B.J. Novak,7/31/1979,
635,Babak Najafi,9/14/1975,
636,Babar Ahmed,,
637,Bahare Seddiqi,,
638,Bai Ling,,
639,Bailee Madison,10/15/1999,
640,Balinese Tari Legong Dancers,,
641,Bálint Péntek,,
642,Baltasar Kormákur,2/27/1966,
643,Balthazar Getty,1/22/1975,
644,Bam Margera,9/28/1979,
645,Barack Obama,8/4/1961,
646,Barbara Bach,8/27/1947,
647,Barbara Billingsley,12/22/1915,10/16/2010
648,Barbara Carrera,12/31/1945,
649,Bárbara Goenaga,7/20/1983,
650,Barbara Hershey,2/5/1948,
651,Barbara Kowalcyk,,
652,Bárbara Mori,2/2/1978,
653,Barbet Schroeder,8/26/1941,
654,Barbie Castro,,
655,Barbra Streisand,4/24/1942,
656,Bari Hyman,,
657,Barnard Hughes,7/16/1915,7/11/2006
658,Barney Clark,12/13/1973,
659,Barney Frank,3/31/1940,
660,Barret Oliver,8/24/1973,
661,Barrett Esposito,,
662,Barry Bostwick,2/24/1945,
663,Barry Cook,,
664,Barry Corbin,10/16/1940,
665,Barry Dennen,2/22/1938,
666,Barry Fitzgerald,1888-03-10,1/14/1961
667,Barry Levinson,4/6/1942,
668,Barry Lynch,8/28/1959,
669,Barry Shabaka Henley,9/15/1954,
670,Barry Skolnick,10/8/1966,
671,Barry Sonnenfeld,4/1/1953,
672,Barry W. Blaustein,,
673,Barry Watson,4/23/1974,
674,Bart Freundlich,1/17/1970,
675,Bart Shatto,2/23/1965,
676,Bart the Bear,,
677,Bashar Rahal,10/20/1974,
678,Basher Savage,,
679,Basil Rathbone,1892-06-13,7/21/1967
680,Baz Luhrmann,9/17/1962,
681,Béatrice Bonifassi,,
682,Béatrice Dalle,12/19/1964,
683,Beatrice Ntuba,,
684,Beatrice Straight,8/2/1914,4/7/2001
685,Beau Bridges,12/9/1941,
686,Beau Garrett,12/28/1982,
687,Beau Knapp,,
688,Beau Mirchoff,1/13/1989,
689,Bebe Neuwirth,12/31/1958,
690,Becky Smith,,
691,Beeban Kidron,5/2/1961,
692,Behrouz Vossoughi,,
693,Belén Rueda,3/16/1965,
694,Bella Heathcote,5/27/1987,
695,Bella Thorne,10/8/1997,
696,Ben Affleck,8/15/1972,
697,Ben Browder,12/11/1962,
698,Ben Chaplin,7/31/1970,
699,Ben Crompton,,
700,Ben Cross,12/16/1947,
701,Ben Daniels,6/10/1964,
702,Ben Davies,,
703,Ben Diskin,8/25/1982,
704,Ben Falcone,,
705,Ben Feldman,5/27/1980,
706,Ben Gazzara,8/28/1930,2/3/2012
707,Ben Johnson,6/13/1918,4/8/1996
708,Ben Lewin,,
709,Ben Mendelsohn,4/3/1969,
710,Ben Miles,,
711,Ben Miller,2/24/1966,
712,Ben Platt,9/24/1993,
713,Ben Schwartz,,
714,Ben Stassen,,
715,Ben Stein,11/25/1944,
716,Ben Stiller,11/30/1965,
717,Ben Vereen,10/10/1946,
718,Ben Wheatley,,
719,Ben Youcef,2/19/1979,
720,Ben Younger,10/7/1972,
721,Benedek Fliegauf,8/15/1974,
722,Benedict Cumberbatch,7/19/1976,
723,Benedict Wong,,
724,Benedikt Erlingsson,5/31/1969,
725,Benh Zeitlin,,
726,Benjamin A. Onyango,,
727,Benjamin Dickinson,,
728,Benjamin Fletcher,,
729,Benjamin J. Cain Jr.,,
730,Benjamin Roberds,,
731,Benjamin Walker,6/21/1982,
732,Bennett Miller,12/30/1966,
733,Benni Diez,,
734,Benno Fürmann,1/17/1972,
735,Benny Boom,,
736,Benoît Magimel,5/11/1974,
737,Benoît Poelvoorde,9/22/1964,
738,Benson Lee,,
739,Bérénice Bejo,7/7/1976,
740,Bergüzar Korel,9/2/1982,
741,Bern Cohen,,
742,Bernadette Peters,2/28/1948,
743,Bernard Cribbins,12/29/1928,
744,Bernard Fox,5/11/1927,12/14/2016
745,Bernard Hill,12/17/1944,
746,Bernardo Bertolucci,3/16/1941,
747,Bernardo Saracino,,
748,Bernie Casey,6/8/1939,
749,Bernie Mac,10/5/1957,8/9/2008
750,Bernie Sanders,9/8/1941,
751,Bertrand Cantat,3/5/1964,
752,Bess Armstrong,12/11/1953,
753,Bessie Love,1898-09-10,4/26/1986
754,Beth Broderick,2/24/1959,
755,Beth Grant,9/18/1949,
756,Beth Riesgraf,8/24/1978,
757,Bethany Blakey,,
758,Bethany Joy Lenz,4/2/1981,
759,Beto Gómez,5/12/1969,
760,Betsy Baker,,
761,Betsy Palmer,11/1/1926,5/29/2015
762,Betsy Russell,9/6/1963,
763,Betty Hutton,2/26/1921,3/11/2007
764,Betty Thomas,7/27/1947,
765,Beverly D'Angelo,11/15/1951,
766,Beverly Randolph,,
767,Bhama,,
768,Bhavkhandan Singh Rakhra,,
769,Bhole Baba,,
770,Bhoomika Chawla,8/21/1978,
771,Bianca Brigitte VanDamme,10/17/1990,
772,Bianca Collins,8/17/1988,
773,Bianca Kajlich,3/26/1977,
774,Bibo Bergeron,,
775,Big Budah,,
776,Bigas Luna,3/19/1946,4/6/2013
777,Bill Allen,,
778,Bill Bailey,11/21/1980,
779,Bill Baird,,
780,Bill Benenson,,
781,Bill Clinton,8/19/1946,
782,Bill Cobbs,6/16/1934,
783,Bill Condon,10/22/1955,
784,Bill Duke,2/26/1943,
785,Bill Erwin,12/2/1914,12/29/2010
786,Bill Fagerbakke,10/4/1957,
787,Bill Farmer,11/14/1952,
788,Bill Hickman,1/25/1921,2/24/1986
789,Bill Hunter,2/27/1940,5/21/2011
790,Bill Irwin,4/11/1950,
791,Bill Johnson,,
792,Bill Lake,3/24/1979,
793,Bill Maher,1/20/1956,
794,Bill Martone,,
795,Bill Melendez,11/15/1916,9/2/2008
